day,temperature,pressure
0,9.878925129837127,759.7922627548841
1,10.376153127811657,701.0813611192484
2,7.519023147543025,770.4126377857236
3,12.14878652040253,664.870819788108
4,11.551769115881788,801.4577818662822
5,12.786487145851176,773.6298741206522
6,7.2021423944209895,762.8014867156937
7,14.935682730661382,799.1345491972756
8,11.849797139466212,833.2737222231289
9,13.976906535070492,800.7185032509066
10,11.009538272033867,657.9562884334177
11,13.742561505242518,686.0211516632149
12,11.496444153268804,718.7590711152161
13,12.393169254018776,751.3045525105417
14,16.45113852088943,775.8829510234561
15,13.544275825597785,713.7128093423268
16,14.405521672781168,759.338338223854
17,15.632338089242266,712.2308533823339
18,15.317341201803243,719.4241098504026
19,15.044673283100831,679.6669451575889
20,15.610284997611037,703.8383376944548
21,18.91026521050299,682.4157697191833
22,15.459439947809718,701.2063373511334
23,16.086599663726556,802.682089830392
24,17.59830143210101,702.5300555584029
25,17.916192938621727,881.6191032418695
26,18.272179346597035,774.6658950440444
27,17.681535459149934,759.2418061847437
28,15.23874669444704,707.0821109909393
29,19.63115490018847,785.0154939704496
30,15.687115162871626,721.2181086881113
31,18.084017355640118,756.1004907322681
32,16.719820335454216,878.0042269134398
33,17.973870053185003,745.1970050137675
34,18.779673312969518,807.4636663142838
35,18.982562167542174,714.8411787437057
36,19.344885233159943,748.2505754751519
37,21.341467207999422,838.5400317817755
38,19.807454503997864,718.6516471106116
39,18.96446627367704,840.6224278998465
40,20.977615265785197,785.3875967727738
41,21.513649148911682,721.8766612052866
42,18.083107550928688,781.620386952776
43,21.01275438726897,798.6277224813365
44,21.35755062182135,781.0904981108598
45,20.045529650734718,671.4887640054772
46,22.73840955419405,713.6431412087566
47,20.629577193889897,737.6240682224247
48,21.219620024667094,746.2783285449976
49,20.944973579022527,781.0336048775339
50,21.39795569855064,758.8850500466627
51,19.896809772916264,683.2327820644949
52,19.54436144217019,769.0098925502982
53,24.255942446189117,780.5292872641911
54,20.749974300142657,777.989522396552
55,20.685997360925956,804.039036277731
56,19.09206312913064,791.6961077274452
57,21.509116773952865,772.9590039614218
58,20.624641394405927,746.4917144270677
59,25.21027911311747,666.9519533242004
60,24.396185008150997,771.4809109566293
61,21.97961980317737,760.3843843581556
62,26.517029285180108,763.5789418597686
63,24.733660879637842,686.1625712089846
64,22.892473121630296,695.9471729795869
65,19.74535447247329,802.6576426666452
66,27.041621050925652,748.0222423071673
67,21.62756112263461,784.0750348686312
68,21.34647119531418,751.4159188065231
69,25.44698090170241,751.4878069747873
70,27.667187041852788,796.9141902987999
71,26.17425009689421,724.1977635891313
72,25.02980949148568,754.8060388470492
73,25.157979256925234,726.8862355647478
74,25.623645737049046,728.2751886283842
75,25.55533964276466,734.5413938265681
76,24.907886200776886,761.1066885816856
77,24.70726048370042,726.0625689168261
78,24.517617135737023,812.787806278676
79,23.536778239284835,705.2696348890248
80,24.29858443877398,740.6564177919321
81,22.2276720299883,728.0134470862913
82,24.662732195717673,822.3488942176866
83,23.36610076558392,759.8277388255788
84,23.227949165445327,801.5922269734317
85,25.183109830139497,675.7219813481514
86,27.026788371724585,763.352513293463
87,26.337349505625806,794.4815397811718
88,22.6207804118987,754.1141994637712
89,23.50430796373975,803.2740187532676
90,26.407684311680686,724.1355774949814
91,23.526130005735386,820.467372009279
92,24.66180015482553,864.9449061809626
93,25.81827235884719,731.858071978017
94,23.53067905148005,727.7248739299614
95,25.126820672199823,822.6692238558851
96,22.94884528393525,828.9786072865356
97,24.024528200583642,723.8569986423366
98,25.37852564022502,728.9906591452071
99,22.477220359604317,735.9107695569746
100,25.490875960425704,682.7774744482862
101,24.759765551067435,704.06740267579
102,25.572633211325456,699.7929616623966
103,25.030076575779344,711.6101217447936
104,26.68636890444629,748.2657556306609
105,24.76960970340778,761.710736626826
106,23.874958433673083,827.5250246407038
107,24.635504483010656,700.0822979630605
108,25.19571429836403,799.2161199238292
109,24.37850505494524,739.3005577887245
110,44.286311236988396,747.5268145173784
111,23.08842961914618,783.7409746083301
112,23.058868818105054,693.863898921885
113,21.856951057870152,769.1204873092025
114,26.48872594767681,758.3226104106528
115,21.897959537803978,774.6225632004075
116,22.619711654719385,764.4584321953909
